A_bal,D_cred,P_st_cred,Cred_am,Val_sa_st,Len_emp,Ins_perc ,D_addr,Age,Class*
2,6,1,1169,1,5,4,4,67,1
3,48,2,5951,2,3,2,2,22,2
1,12,1,2096,2,4,2,3,49,1
2,42,2,7882,2,4,2,4,45,1
2,24,0,4870,2,3,3,4,53,2
1,36,2,9055,1,3,2,4,35,1
1,24,2,2835,4,5,3,4,53,1
3,36,2,6948,2,3,2,2,35,1
1,12,2,3059,5,4,2,4,61,1
3,30,1,5234,2,1,4,2,28,2
3,12,2,1295,2,2,3,1,25,2
2,48,2,4308,2,2,3,4,24,2
3,12,2,1567,2,3,1,1,22,1
2,24,1,1199,2,5,4,4,60,2
2,15,2,1403,2,3,2,4,28,1
2,24,2,1282,3,3,4,2,32,2
1,24,1,2424,1,5,4,4,53,1
2,30,4,8072,1,2,2,3,25,1
3,24,2,12579,2,5,4,2,44,2
1,24,2,3430,4,5,3,2,31,1
1,9,1,2134,2,3,4,4,48,1
2,6,2,2647,4,3,2,3,44,1
2,10,1,2241,2,2,1,3,48,1
3,12,1,1804,3,2,3,4,44,1
1,10,1,2069,1,3,2,1,26,1
2,6,2,1374,2,3,1,2,36,1
1,6,4,426,2,5,4,4,39,1
4,12,3,409,5,3,3,3,42,1
3,7,2,2415,2,3,3,2,34,1
2,60,0,6836,2,5,3,4,63,2
3,18,2,1913,5,2,3,3,36,1
2,24,2,4020,2,3,2,2,27,1
3,18,2,5866,3,3,2,2,30,1
1,12,1,1264,1,5,4,4,57,1
4,12,2,1474,2,2,4,1,33,1
3,45,1,4746,2,2,4,2,25,2
1,48,1,6110,2,3,1,3,31,1
4,18,2,2100,2,3,4,2,37,2
4,10,2,1225,2,3,2,2,37,1
3,9,2,458,2,3,4,3,24,1
1,30,2,2333,4,5,4,2,30,1
3,12,2,1158,4,3,3,1,26,1
3,18,0,6204,2,3,2,4,44,1
2,30,1,6187,3,4,1,4,24,1
2,48,1,6143,2,5,4,4,58,2
1,11,1,1393,2,2,4,4,35,1
1,36,2,2299,4,5,4,4,39,1
2,6,2,1352,4,1,1,2,23,1
1,11,1,7228,2,3,1,4,39,1
1,12,2,2073,3,3,4,2,28,1
3,24,0,2333,1,2,4,2,29,1
3,27,0,5965,2,5,1,2,30,1
1,12,2,1262,2,3,3,2,25,1
1,18,2,3378,1,3,2,1,31,1
3,36,0,2225,2,5,4,4,57,2
1,6,3,783,1,3,1,2,26,1
3,12,2,6468,1,1,2,1,52,2
1,36,1,9566,2,3,2,2,31,1
